claim_id,claim_date,claim_amount,settlement_amount,claim_status,claim_type,claimant_name,adjuster_id,coverholder_id,tpa_id,reported_date,settled_date
CLM028,2024-04-03,112000,0,Under Review,Property Damage,Industrial Plant,ADJ004,CH006,TPA004,2024-04-03,
CLM029,2024-04-12,54000,54000,Settled,Medical Malpractice,Veterinary Clinic,ADJ001,CH007,TPA001,2024-04-12,2024-04-28
CLM030,2024-04-25,99000,0,Open,Cyber Liability,Financial Services,ADJ002,CH008,TPA002,2024-04-25,
CLM031,2024-01-25,73000,70000,Settled,General Liability,Construction Firm,ADJ003,CH009,TPA003,2024-01-25,2024-03-15
CLM032,2024-02-05,156000,0,Pending,Professional Liability,Legal Services,ADJ004,CH010,TPA004,2024-02-05,
CLM033,2024-02-20,61000,61000,Settled,Property Damage,Retail Chain,ADJ001,CH001,TPA001,2024-02-20,2024-04-05
CLM034,2024-03-02,84000,0,Open,Medical Malpractice,Hospital,ADJ002,CH002,TPA002,2024-03-02,
CLM035,2024-03-12,127000,122000,Settled,Cyber Liability,Tech Company,ADJ003,CH003,TPA003,2024-03-12,2024-04-20
CLM036,2024-03-28,69000,0,Under Review,General Liability,Manufacturing,ADJ004,CH004,TPA004,2024-03-28,
CLM037,2024-04-08,91000,88000,Settled,Professional Liability,Business Consultants,ADJ001,CH005,TPA001,2024-04-08,2024-05-18
CLM038,2024-04-18,103000,0,Open,Property Damage,Commercial Real Estate,ADJ002,CH006,TPA002,2024-04-18,
CLM039,2024-05-02,58000,58000,Settled,Medical Malpractice,Clinic Services,ADJ003,CH007,TPA003,2024-05-02,2024-05-22
CLM040,2024-05-12,138000,0,Pending,Cyber Liability,Insurance Provider,ADJ004,CH008,TPA004,2024-05-12,
CLM041,2024-01-28,76000,73000,Settled,General Liability,Food Services,ADJ001,CH009,TPA001,2024-01-28,2024-03-25
CLM042,2024-02-08,118000,0,Open,Professional Liability,Engineering Firm,ADJ002,CH010,TPA002,2024-02-08,
CLM043,2024-02-22,47000,47000,Settled,Property Damage,Warehouse Complex,ADJ003,CH001,TPA003,2024-02-22,2024-04-02
CLM044,2024-03-05,86000,0,Pending,Medical Malpractice,Medical Center,ADJ004,CH002,TPA004,2024-03-05,
CLM045,2024-03-15,131000,128000,Settled,Cyber Liability,Tech Startup,ADJ001,CH003,TPA001,2024-03-15,2024-04-30
CLM046,2024-03-30,71000,0,Open,General Liability,Retail Business,ADJ002,CH004,TPA002,2024-03-30,
CLM047,2024-04-05,94000,91000,Settled,Professional Liability,Consulting Team,ADJ003,CH005,TPA003,2024-04-05,2024-05-15
CLM048,2024-04-22,107000,0,Under Review,Property Damage,Factory Building,ADJ004,CH006,TPA004,2024-04-22,
CLM049,2024-05-03,62000,62000,Settled,Medical Malpractice,Health Services,ADJ001,CH007,TPA001,2024-05-03,2024-05-25
CLM050,2024-05-18,142000,0,Open,Cyber Liability,Tech Solutions,ADJ002,CH008,TPA002,2024-05-18,
CLM051,2024-02-03,80000,78000,Settled,Professional Liability,Advisory Services,ADJ003,CH009,TPA003,2024-02-03,2024-03-28
CLM052,2024-02-12,115000,0,Open,General Liability,Hospitality,ADJ004,CH010,TPA004,2024-02-12,
CLM053,2024-02-25,51000,51000,Settled,Property Damage,Commercial Space,ADJ001,CH001,TPA001,2024-02-25,2024-04-08
CLM054,2024-03-08,89000,0,Pending,Medical Malpractice,Wellness Center,ADJ002,CH002,TPA002,2024-03-08,
CLM055,2024-03-20,133000,130000,Settled,Cyber Liability,Financial Tech,ADJ003,CH003,TPA003,2024-03-20,2024-05-05
CLM056,2024-04-02,74000,0,Open,General Liability,Service Provider,ADJ004,CH004,TPA004,2024-04-02,
CLM057,2024-04-08,97000,94000,Settled,Professional Liability,Design Firm,ADJ001,CH005,TPA001,2024-04-08,2024-05-20
CLM058,2024-04-28,110000,0,Under Review,Property Damage,Industrial Complex,ADJ002,CH006,TPA002,2024-04-28,
CLM059,2024-05-07,65000,65000,Settled,Medical Malpractice,Diagnostic Center,ADJ003,CH007,TPA003,2024-05-07,2024-05-28
CLM060,2024-05-22,145000,0,Open,Cyber Liability,Insurance Solutions,ADJ004,CH008,TPA004,2024-05-22,
CLM061,2024-02-06,82000,80000,Settled,General Liability,Logistics,ADJ001,CH009,TPA001,2024-02-06,2024-04-01
CLM062,2024-02-18,120000,0,Open,Professional Liability,Architecture Firm,ADJ002,CH010,TPA002,2024-02-18,
CLM063,2024-03-01,55000,55000,Settled,Property Damage,Office Park,ADJ003,CH001,TPA003,2024-03-01,2024-04-15
CLM064,2024-03-14,91000,0,Pending,Medical Malpractice,Surgery Center,ADJ004,CH002,TPA004,2024-03-14,
CLM065,2024-03-25,136000,133000,Settled,Cyber Liability,Payment Processor,ADJ001,CH003,TPA001,2024-03-25,2024-05-10
CLM066,2024-04-06,76000,0,Open,General Liability,Maintenance Services,ADJ002,CH004,TPA002,2024-04-06,
CLM067,2024-04-14,100000,97000,Settled,Professional Liability,Marketing Agency,ADJ003,CH005,TPA003,2024-04-14,2024-05-25
CLM068,2024-05-01,113000,0,Under Review,Property Damage,Shopping Center,ADJ004,CH006,TPA004,2024-05-01,
CLM069,2024-05-10,68000,68000,Settled,Medical Malpractice,Rehabilitation Center,ADJ001,CH007,TPA001,2024-05-10,2024-06-01
CLM070,2024-05-25,148000,0,Open,Cyber Liability,Data Management,ADJ002,CH008,TPA002,2024-05-25,
CLM071,2024-01-30,85000,83000,Settled,Professional Liability,Tax Services,ADJ003,CH009,TPA003,2024-01-30,2024-04-05
CLM072,2024-02-14,125000,0,Open,General Liability,Event Management,ADJ004,CH010,TPA004,2024-02-14,
CLM073,2024-02-28,58000,58000,Settled,Property Damage,Distribution Center,ADJ001,CH001,TPA001,2024-02-28,2024-04-20
CLM074,2024-03-11,93000,0,Pending,Medical Malpractice,Physical Therapy,ADJ002,CH002,TPA002,2024-03-11,
CLM075,2024-03-27,139000,136000,Settled,Cyber Liability,E-commerce Platform,ADJ003,CH003,TPA003,2024-03-27,2024-05-15
CLM076,2024-04-09,78000,0,Open,General Liability,Cleaning Services,ADJ004,CH004,TPA004,2024-04-09,
CLM077,2024-04-17,102000,99000,Settled,Professional Liability,IT Services,ADJ001,CH005,TPA001,2024-04-17,2024-06-01
CLM078,2024-05-04,116000,0,Under Review,Property Damage,Parking Facility,ADJ002,CH006,TPA002,2024-05-04,
CLM079,2024-05-13,71000,71000,Settled,Medical Malpractice,Urgent Care,ADJ003,CH007,TPA003,2024-05-13,2024-06-05
CLM080,2024-05-28,150000,0,Open,Cyber Liability,Blockchain Company,ADJ004,CH008,TPA004,2024-05-28,
CLM081,2024-02-09,87000,85000,Settled,General Liability,Freight Services,ADJ001,CH009,TPA001,2024-02-09,2024-04-08
CLM082,2024-02-21,128000,0,Open,Professional Liability,Accounting Firm,ADJ002,CH010,TPA002,2024-02-21,
CLM083,2024-03-04,60000,60000,Settled,Property Damage,Storage Facility,ADJ003,CH001,TPA003,2024-03-04,2024-04-25
CLM084,2024-03-17,95000,0,Pending,Medical Malpractice,Specialty Hospital,ADJ004,CH002,TPA004,2024-03-17,
CLM085,2024-03-29,141000,138000,Settled,Cyber Liability,Cloud Services,ADJ001,CH003,TPA001,2024-03-29,2024-05-20
CLM086,2024-04-11,80000,0,Open,General Liability,Security Services,ADJ002,CH004,TPA002,2024-04-11,
CLM087,2024-04-19,105000,102000,Settled,Professional Liability,Research Firm,ADJ003,CH005,TPA003,2024-04-19,2024-06-05
CLM088,2024-05-06,119000,0,Under Review,Property Damage,Sports Complex,ADJ004,CH006,TPA004,2024-05-06,
CLM089,2024-05-16,73000,73000,Settled,Medical Malpractice,Primary Care,ADJ001,CH007,TPA001,2024-05-16,2024-06-10
CLM090,2024-06-01,152000,0,Open,Cyber Liability,AI Services,ADJ002,CH008,TPA002,2024-06-01,
CLM091,2024-02-12,89000,87000,Settled,Professional Liability,Legal Consulting,ADJ003,CH009,TPA003,2024-02-12,2024-04-12
CLM092,2024-02-24,130000,0,Open,General Liability,Construction Group,ADJ004,CH010,TPA004,2024-02-24,
CLM093,2024-03-07,63000,63000,Settled,Property Damage,Manufacturing Facility,ADJ001,CH001,TPA001,2024-03-07,2024-04-28
CLM094,2024-03-19,97000,0,Pending,Medical Malpractice,Imaging Center,ADJ002,CH002,TPA002,2024-03-19,
CLM095,2024-04-01,143000,140000,Settled,Cyber Liability,Fintech Platform,ADJ003,CH003,TPA003,2024-04-01,2024-05-25
CLM096,2024-04-13,82000,0,Open,General Liability,Transportation Company,ADJ004,CH004,TPA004,2024-04-13,
CLM097,2024-04-21,108000,105000,Settled,Professional Liability,Consulting Experts,ADJ001,CH005,TPA001,2024-04-21,2024-06-10
CLM098,2024-05-08,122000,0,Under Review,Property Damage,Logistics Hub,ADJ002,CH006,TPA002,2024-05-08,
CLM099,2024-05-19,75000,75000,Settled,Medical Malpractice,Pediatric Center,ADJ003,CH007,TPA003,2024-05-19,2024-06-15
CLM100,2024-06-05,155000,0,Open,Cyber Liability,Digital Solutions,ADJ004,CH008,TPA004,2024-06-05,
